Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,time_seconds,filtered_accel_x,filtered_accel_y,filtered_accel_z,Vel_X,Vel_Y,Vel_Z,Displacement_X,Displacement_Y,Displacement_Z,Acc_Global_X,Acc_Global_Y,Acc_Global_Z,Dy_dt,Dz_dt,Dx_dt,Vel_X_Roll_Mean,Vel_Y_Roll_Mean,Vel_Z_Roll_Mean,Vel_X_Roll_Std,Vel_Y_Roll_Std,Vel_Z_Roll_Std,Vel_X_Roll_Sum,Vel_Y_Roll_Sum,Vel_Z_Roll_Sum,Vel_X_Roll_Max,Vel_Y_Roll_Max,Vel_Z_Roll_Max,Vel_X_Roll_Min,Vel_Y_Roll_Min,Vel_Z_Roll_Min,Acc_Global_X_Magnitude,Vel_X_Magnitude
-128.6637420654297,-69.7996826171875,137.8681640625,25.887453079223636,-5.398108005523682,-2.28865122795105,-144.5428924560547,404.2091064453125,-107.64303588867188,6.958333333333333,0.01137414913753787,-2.7765185245812134,-7.780658389639899,-11.057056598452192,-3.4043857503317714,0.8743877019478941,8.901055271561896,2.2716085262013554,3.90156341304716,-3.7640497334654186,1.2670495594196736,36.05431817421591,-8.730754852294922,-59.98792648315427,70.54206848144617,-11.047221119497308,-3.3553933730314767,0.9971010656417937,0.012554324461523743,0.04041048121099129,0.09451398849415374,-55.23610559748654,-16.776966865157384,4.985505328208968,-11.027686794903985,-3.3017332731851985,1.1140166211476852,-11.057151383028339,-3.4043857503317714,0.8743877019478941,36.27240471749319,11.602279810957624
-123.17975616455078,-72.47411346435547,130.63699340820312,26.398334503173828,-5.8683929443359375,-2.508599281311035,-161.7235870361328,414.00396728515625,-95.58396911621094,6.966666666666667,0.5219426646716663,-3.1813975619166,-7.9330568931017975,-11.052707076246595,-3.4308973966810763,0.808278894505379,8.808949379259841,2.2430177145623467,3.9082990705013714,-2.1181979937268154,0.7606852815653319,36.87543489040155,-56.4341926574707,-26.393766403198242,61.30577087402301,-11.05222517576583,-3.381226197730652,0.9359535203133325,0.006199742720191665,0.03878403369587059,0.09876870680943406,-55.26112587882915,-16.90613098865326,4.679767601566662,-11.041934295828577,-3.3313935790245353,1.057461023946061,-11.057151383028339,-3.4308973966810763,0.808278894505379,36.94405369196053,11.60115103906364
-115.38208770751952,-74.77196502685547,120.9731674194336,26.742565155029297,-6.601612091064453,-2.4307358264923096,-176.07078552246094,416.4723205566406,-80.3104476928711,6.975,0.8591687625658082,-3.8395394110879852,-7.786693656288417,-11.045547336558545,-3.462893558440143,0.7433897807029756,8.716903151455186,2.2141602682420123,3.9144939853405627,-0.6791793332400227,-0.09981702968417067,37.4538655387403,-87.98629760742188,9.34361457824707,41.30767822265625,-11.052947783911822,-3.4075261936137737,0.8731392716647154,0.004738875212496072,0.04106283015018754,0.10199215777015742,-55.26473891955911,-17.037630968068868,4.365696358323577,-11.045547336558545,-3.358206166655617,1.0004134593057685,-11.057151383028339,-3.462893558440143,0.7433897807029756,37.46015605680459,11.599498960183384
-105.02598571777344,-76.48097229003906,108.67766571044922,26.70920753479004,-6.986019134521484,-2.1801469326019287,-185.37696838378903,412.4955139160156,-65.83362579345703,6.983333333333333,0.8167610370385283,-4.140006244710272,-7.470634466134166,-11.038740994583224,-3.4973936104793952,0.6811344934851908,8.624913643166993,2.1850153214880175,3.920170106119606,0.5562540836959238,-0.7261033028433045,37.48855896754906,-46.12884521484375,30.070667266845703,-4.0029144287109375,-11.050240677773779,-3.4353636823785294,0.8092834785005998,0.007977592208378433,0.04613480988114701,0.10233389637290305,-55.251203388868895,-17.176818411892647,4.046417392502999,-11.038740994583224,-3.3812480959602613,0.9392265218615599,-11.057151383028339,-3.4973936104793952,0.6811344934851908,37.49971597326347,11.59954779335512
-92.38745880126952,-77.41043090820312,94.04952239990234,26.389034271240234,-6.716322898864746,-1.8329341411590576,-192.6781005859375,404.7101745605469,-50.02035140991211,6.991666666666666,0.4911128075343818,-3.786045133458116,-7.06322966315793,-11.034648387853771,-3.528943986591546,0.6222742462922081,8.532958239934878,2.155607454933088,3.925355724838708,1.6092508669752843,-0.7600210307799591,37.04384751180495,32.363548278808594,41.66553497314453,-38.42079162597656,-11.045740078738866,-3.464902860504786,0.7458930233867295,0.009336120838460703,0.04994908445710345,0.09985541397814715,-55.22870039369433,-17.32451430252393,3.7294651169336475,-11.034648387853771,-3.4043857503317714,0.8743877019478941,-11.057056598452192,-3.528943986591546,0.6222742462922081,37.08657383471741,11.601902255305506
-79.21929931640625,-77.41862487792969,78.85404968261719,25.762948989868164,-6.119496822357178,-1.6235544681549072,-198.2971954345703,393.9242858886719,-30.60381126403809,7.0,-0.13190380487831277,-3.112912824326896,-6.798546005892409,-11.035747586227757,-3.55488492679427,0.5656196962431047,8.440993676716314,2.125983413876469,3.9300692223074005,2.6958241652662354,-0.48926038836404634,36.1976271662838,71.6191291809082,25.125560760498047,-75.13023376464844,-11.041478276293978,-3.495002695797286,0.6841394222457717,0.007576676332789266,0.04970939387898576,0.0959224538292571,-55.20739138146989,-17.47501347898643,3.4206971112288587,-11.034648387853771,-3.4308973966810763,0.808278894505379,-11.052707076246595,-3.55488492679427,0.5656196962431047,36.301171553090995,11.607965251087677
-67.49311065673828,-76.55977630615234,65.08251190185547,24.96613502502441,-5.444255352020264,-1.6695809364318848,-202.1898498535156,382.0115966796875,-8.812158584594727,7.008333333333333,-0.9131584578931324,-2.3726803400417262,-6.790799614562895,-11.043357240043532,-3.5746572629612845,0.5090296994550806,8.34896569971595,2.0961946033517913,3.934311136469526,3.934609416147694,-0.13787340860197328,35.112868505262625,81.02897644042969,-5.523176193237305,-95.61767578125043,-11.039608309053367,-3.5237546690533277,0.624289583235712,0.004732461463096083,0.04468242446417861,0.09239488472014391,-55.19804154526683,-17.61877334526664,3.12144791617856,-11.034648387853771,-3.462893558440143,0.7433897807029756,-11.045547336558545,-3.5746572629612845,0.5090296994550806,35.332898197038716,11.618649874825865
-58.506935119628906,-75.04639434814453,54.0003547668457,24.21685791015625,-4.889549732208252,-1.7340668439865112,-209.57955932617188,371.1755065917969,12.684985160827637,7.016666666666667,-1.633454027999914,-1.7638502639251392,-6.800722229309924,-11.056969356943531,-3.5893560151606607,0.4523570142108312,8.256824288408088,2.0662833032254526,3.938080778254616,5.082421161005155,0.13416717680490822,34.04885075152458,66.5646743774414,-7.738308906555176,-89.91325378417926,-11.041892713130363,-3.549047160397431,0.5660830299372831,0.009077805244126774,0.03669804987343743,0.09025408011571702,-55.20946356565182,-17.745235801987157,2.8304151496864156,-11.034648387853771,-3.4973936104793952,0.6811344934851908,-11.056969356943531,-3.5893560151606607,0.4523570142108312,34.42634519069315,11.633773026506233
-52.19281768798828,-73.09283447265625,45.54161834716797,23.702112197875977,-4.741559982299805,-2.0250906944274902,-217.3666534423828,359.1294250488281,33.39653396606445,7.0249999999999995,-2.1082914684934444,-1.5680647634240037,-7.034333944391697,-11.07453845251431,-3.6024232215225274,0.3937375646742337,8.16453646797047,2.036263109712765,3.9413619246269014,6.365958394464506,0.0530809288762302,33.216094551676946,17.758769989013672,-34.92286205291748,-61.76948547363281,-11.04905220471658,-3.5700530826060577,0.5086036441750916,0.01680138062377647,0.02898990471255939,0.09018025990255116,-55.2452610235829,-17.85026541303029,2.5430182208754584,-11.034648387853771,-3.528943986591546,0.6222742462922081,-11.07453845251431,-3.6024232215225274,0.3937375646742337,33.82066204454026,11.652376764978824
-48.14731597900391,-70.90048217773438,39.337772369384766,23.244421005249023,-4.920516490936279,-2.244004011154175,-221.06918334960935,343.8861083984375,53.88603973388672,7.033333333333333,-2.5177027095273665,-1.699313159291167,-7.1917093890224475,-11.095519308427038,-3.6165841645166203,0.33380665309904667,8.07207380706691,2.006124908341793,3.94414364673606,7.438751582512619,-0.3092407513176775,32.48420317145246,-21.474781036376953,-26.26959800720215,-54.922943115234375,-11.061226388831233,-3.5875811181910726,0.45091012553645937,0.02418580966287028,0.02398271227500074,0.09154259793042949,-55.306131944156164,-17.937905590955364,2.254550627682297,-11.035747586227757,-3.55488492679427,0.5656196962431047,-11.095519308427038,-3.6165841645166203,0.33380665309904667,33.32647762114699,11.674830046915577
