X,Y,Z,time
-584.41864,2289.796143,1732.969116,3.7
-583.889709,2268.979492,1731.84314,3.708333333
-583.072876,2248.523682,1730.397217,3.716666667
-582.486938,2228.707031,1728.356812,3.725
-581.874207,2209.193848,1725.610718,3.733333333
-581.006836,2190.261963,1722.576538,3.741666667
-580.238159,2171.66333,1718.782104,3.75
-579.494324,2153.606201,1714.278198,3.758333333
-578.519409,2136.083984,1709.106079,3.766666667
-577.601807,2118.83374,1703.371948,3.775
-576.697876,2102.236328,1696.86853,3.783333333
-575.630432,2086.182373,1689.859863,3.791666667
-574.815186,2070.439941,1682.28894,3.8
-574.236755,2055.275146,1674.143066,3.808333333
-573.151489,2040.612427,1665.229126,3.816666667
-572.72467,2026.370239,1655.638306,3.825
-572.214294,2012.52771,1645.230835,3.833333333
-571.994812,1999.153076,1634.137939,3.841666667
-571.686279,1985.804321,1622.351196,3.85
-571.934021,1972.958008,1609.646729,3.858333333
-572.01886,1960.193115,1596.079224,3.866666667
-572.511353,1947.777344,1581.830322,3.875
-572.981323,1935.346436,1566.648804,3.883333333
-573.450012,1923.009399,1550.817017,3.891666667
-573.793396,1910.754517,1534.182739,3.9
-574.403076,1898.406982,1516.684204,3.908333333
-575.492493,1885.904053,1497.957275,3.916666667
-576.248352,1873.139893,1478.175781,3.925
-577.374207,1860.310791,1457.434082,3.933333333
-578.601135,1847.04248,1435.281616,3.941666667
-579.561035,1833.153931,1411.931885,3.95
-580.094055,1818.393433,1387.537842,3.958333333
-580.486267,1803.095703,1362.277832,3.966666667
-580.431335,1786.848511,1336.296265,3.975
-580.358704,1769.954346,1309.768066,3.983333333
-580.732056,1752.354248,1282.550293,3.991666667
-581.517761,1734.079224,1254.592407,4
-582.996338,1714.958618,1226.044434,4.008333333
-585.114014,1694.979492,1196.973022,4.016666667
-587.345154,1674.333984,1167.181519,4.025
-590.456421,1653.089355,1136.822998,4.033333333
-594.430115,1630.812134,1105.541016,4.041666667
-598.945618,1607.654541,1073.69397,4.05
-604.024536,1583.290039,1041.090942,4.058333333
-609.296448,1557.588135,1007.612488,4.066666667
-615.315552,1531.053833,973.690735,4.075
-621.378174,1502.35022,938.633057,4.083333333
-628.329956,1472.005005,902.598267,4.091666667
-635.70343,1440.352173,866.184021,4.1
-643.482727,1406.535645,829.14978,4.108333333
-651.824158,1370.481567,791.677734,4.116666667
-660.548279,1332.316162,753.644531,4.125
-669.563477,1292.36438,715.766296,4.133333333
-678.947083,1249.998291,677.96283,4.141666667
-688.245605,1205.463867,640.42334,4.15
-698.081665,1159.271606,603.530334,4.158333333
-707.878967,1110.932617,567.029114,4.166666667
-717.935547,1060.734985,531.262451,4.175
-728.216492,1008.691772,496.235962,4.183333333
-738.305237,954.42749,462.375458,4.191666667
-748.051636,897.818298,430.228729,4.2
-757.292847,839.40863,400.109863,4.208333333
-765.634216,778.736694,372.590851,4.216666667
-772.896729,715.980957,347.960632,4.225
-778.724609,651.529053,326.769928,4.233333333
-782.759521,584.882568,309.575806,4.241666667
-783.919006,516.609619,297.206604,4.25
-780.974609,446.931549,290.361176,4.258333333
-774.089905,376.139069,289.28476,4.266666667
-764.790527,303.736938,293.156097,4.275
-755.211365,229.920715,301.689331,4.283333333
-746.601501,163.713776,312.759094,4.291666667
-740.078064,106.699295,332.764984,4.3
-728.103394,52.299728,358.541016,4.308333333
-707.971558,0.32527,385.406708,4.316666667
-683.443176,-47.867817,416.026672,4.325
-655.217529,-94.681229,455.764618,4.333333333
-623.796936,-136.32756,503.79068,4.341666667
-593.987122,-167.07515,558.978577,4.35
-568.066956,-188.187988,618.894409,4.358333333
-546.602722,-201.284821,684.210754,4.366666667
-531.302063,-205.347595,752.807617,4.375
-521.774048,-200.462769,821.535339,4.383333333
-517.614746,-188.067444,887.681641,4.391666667
-518.644592,-169.686691,949.425232,4.4
-523.801453,-147.253311,1005.10907,4.408333333
-532.568909,-122.94593,1054.108643,4.416666667
-544.046631,-98.437088,1096.363647,4.425
-556.90509,-74.589676,1132.980835,4.433333333
-570.893677,-52.268608,1165.377319,4.441666667
-584.989685,-32.160336,1195.116577,4.45
-599.876953,-13.87273,1221.713013,4.458333333
-614.663208,3.140366,1246.762085,4.466666667
-629.846497,17.922575,1269.830566,4.475
-644.343262,31.58021,1290.528442,4.483333333
-658.726257,44.026581,1311.215332,4.491666667
-672.897827,53.858189,1329.379639,4.5
-686.485535,63.010723,1347.205566,4.508333333
-700.559509,71.095596,1364.415161,4.516666667
-713.871155,78.053253,1380.894653,4.525
-726.209229,84.560158,1396.102905,4.533333333
-738.468323,89.500809,1411.75647,4.541666667
-751.379822,93.650162,1426.611572,4.55
-763.189087,97.154831,1440.482788,4.558333333
-774.031677,99.962105,1453.405273,4.566666667
-785.391357,101.326408,1465.197632,4.575
-796.088196,102.427567,1476.037109,4.583333333
-806.633301,102.592041,1485.350952,4.591666667
-816.422119,101.560028,1492.793091,4.6
-825.919373,100.492966,1499.276733,4.608333333
-835.196594,98.389648,1504.677734,4.616666667
-844.023376,95.029366,1508.980103,4.625
-852.251587,91.038811,1511.787842,4.633333333
-860.353882,86.086075,1514.078735,4.641666667
-868.471252,80.139717,1515.432495,4.65
-875.882446,72.946098,1516.000977,4.658333333
-883.018921,64.709709,1515.23877,4.666666667
-889.851929,55.60125,1513.776245,4.675
-896.450562,46.062801,1511.776611,4.683333333
-902.40564,35.092796,1508.87793,4.691666667
-907.898682,23.449677,1505.02832,4.7
-913.553772,11.111003,1500.74353,4.708333333
-919.070496,-1.761749,1495.960327,4.716666667
-924.416138,-15.871597,1490.478394,4.725
-929.83429,-30.298382,1484.085449,4.733333333
-935.558044,-45.549797,1477.347778,4.741666667
-941.402466,-61.36359,1469.778931,4.75
-947.176392,-77.732597,1461.391968,4.758333333
-953.141235,-94.707985,1452.078247,4.766666667
-959.358704,-111.876015,1441.921753,4.775
-965.495361,-129.352463,1430.624756,4.783333333
-971.91272,-146.464645,1418.139893,4.791666667
-978.167603,-163.789841,1404.555542,4.8
-984.472717,-180.875305,1389.96167,4.808333333
-990.490295,-197.773407,1375.259766,4.816666667
-996.756226,-214.241409,1358.755859,4.825
-1002.940186,-229.864502,1340.150757,4.833333333
-1008.852112,-246.989975,1322.197876,4.841666667
-1014.723206,-261.503632,1302.232056,4.85
-1020.201782,-275.61322,1281.368896,4.858333333
-1025.877808,-289.254974,1259.122437,4.866666667
-1031.12915,-301.410339,1236.109985,4.875
-1036.261841,-312.532135,1212.19519,4.883333333
-1040.621094,-322.114136,1187.433472,4.891666667
-1044.274292,-330.40686,1161.886597,4.9
-1047.590332,-337.906952,1135.894653,4.908333333
-1050.224243,-343.846619,1109.820435,4.916666667
-1051.722412,-347.924713,1083.101074,4.925
-1053.22168,-351.223602,1056.010132,4.933333333
-1053.800049,-352.611603,1028.502686,4.941666667
-1053.501709,-353.005524,1000.910522,4.95
-1052.666626,-351.568939,973.659668,4.958333333
-1050.73938,-349.309418,946.301514,4.966666667
-1047.970703,-346.040405,919.03772,4.975
-1044.425171,-341.634125,892.048706,4.983333333
-1039.304932,-334.289551,865.600342,4.991666667
-1034.654419,-327.387939,839.3797,5
-1029.284058,-319.841705,813.182495,5.008333333
-1022.951965,-310.25415,787.699768,5.016666667
-1016.199219,-299.657501,762.64978,5.025
