Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,time_seconds,Rcar_X,Rcar_Y,Rcar_Z,Acc_Global_X,Acc_Global_Y,Acc_Global_Z,Vel_X,Vel_Y,Vel_Z
-154.58013916015625,31.326038360595703,15.824277877807615,-3.842118501663208,-2.2852163314819336,-4.351888179779053,-11.29734706878662,-28.44345474243164,5.721827983856201,4.108333333333333,313.11291500000004,-2732.2465819999998,-216.85607900000014,-0.7543247746447473,-0.010143343702954501,16.003053385748487,-1.2959763071477515,-0.4326772327863024,81.87276150205668
-154.64910888671875,31.50575065612793,15.855164527893066,-3.527768135070801,-2.321397304534912,-4.364487171173096,-8.537126541137695,-21.582746505737305,5.65379524230957,4.116666666666666,304.771484,-2768.30066,-254.3281250000001,-0.4734985932644302,0.10373446052824663,15.863744293537094,-1.3010922378473728,-0.43228726979953036,82.00553982572036
-154.697509765625,31.61826705932617,15.848047256469728,-2.9986815452575684,-2.6207258701324463,-4.379396915435791,-3.7173686027526855,-12.9342679977417,5.83232307434082,4.125,296.047363,-2806.4660649999996,-292.36132800000007,-0.030705398140311133,0.5085054440625576,15.707447908295764,-1.3031930878115594,-0.42973627019706856,82.13708645989468
-154.7138214111328,31.663745880126957,15.811895370483398,-2.443800687789917,-2.699932098388672,-4.2265625,1.987574815750122,-4.096100330352783,4.935772895812988,4.133333333333333,287.03216499999996,-2846.4178469999997,-330.2395630000001,0.3380558438809514,0.7566509099600083,15.327139054875524,-1.301912460954307,-0.4244647853886415,82.26639723890789
-154.69586181640625,31.640775680541992,15.753131866455078,-1.986844539642334,-2.656478881835937,-4.101434707641602,7.5028076171875,4.016171932220459,3.647301435470581,4.141666666666667,277.648559,-2888.783936,-368.04302900000005,0.641300217413033,0.8547589832150146,14.975686696573193,-1.297831810698915,-0.41775057750041195,82.39265901287226
-154.65191650390625,31.55502700805664,15.677844047546388,-1.6748132705688477,-2.376471519470215,-3.824930429458618,11.675622940063477,11.851310729980469,1.821159601211548,4.15,268.35003700000004,-2933.3183599999998,-405.58251900000005,0.7423239800741606,0.7382191066277592,14.498997422002029,-1.2920667098760514,-0.4111131687927334,82.51547019669967
-154.59002685546875,31.4054012298584,15.607329368591309,-1.3378382921218872,-2.17297101020813,-3.6208302974700928,13.490779876708984,18.275108337402344,-1.7792935371398926,4.158333333333333,258.51397699999995,-2979.5106209999994,-442.47552500000006,0.8995587407622861,0.6760351676827826,14.0943665662644,-1.2852255318725667,-0.40522044264977314,82.63460921331743
-154.49473571777344,31.19733047485352,15.556835174560549,-1.068777561187744,-1.8525444269180296,-3.4972941875457764,16.25282096862793,24.023107528686523,-6.787956237792969,4.166666666666667,248.716675,-3027.8496099999998,-478.97674500000005,1.0478968499094032,0.46413551597155106,13.745957745963327,-1.277111133578101,-0.40046973146787984,82.75061056461838
-154.3766326904297,30.92667388916016,15.524237632751465,-0.859413206577301,-1.1897835731506348,-3.313997983932495,17.837657928466797,29.706897735595703,-11.596985816955566,4.175,238.66009499999996,-3078.0472419999996,-514.743408,1.120583486103811,-0.06274367535521724,13.256318982619216,-1.268075798844713,-0.39879726546531186,82.86312005098748
-154.2865753173828,30.5843505859375,15.49240779876709,-0.4209941327571869,-0.5933681130409241,-3.695112705230713,14.42651081085205,37.695648193359375,-15.567307472229004,4.183333333333334,228.37914999999998,-3130.0904549999996,-549.7698970000001,1.694777903262206,-0.6391177308417038,13.111883714864145,-1.2563451263890208,-0.4017216879911325,82.97298756222699
-154.24761962890625,30.13753700256348,15.446969985961914,0.0033208979293704,-0.9559898376464844,-3.9527437686920166,9.073187828063965,49.30546569824219,-19.64565658569336,4.191666666666666,218.29040499999996,-3184.3547369999997,-583.6304010000001,2.1547729460598943,-0.29302650630532423,13.24645164617674,-1.240305331183513,-0.40560562231257824,83.08281395956466
-154.2292938232422,29.58994483947754,15.417238235473633,0.6621254682540894,-0.5317245125770569,-3.8940470218658447,5.647562980651856,59.76759719848633,-26.50299453735352,4.2,208.54400599999997,-3240.9639289999996,-615.7771300000002,2.6571680482519464,-0.5267342061450381,12.73348291271113,-1.220255577040546,-0.40902129194778825,83.19106368689337
-154.25038146972656,28.9212646484375,15.39244270324707,1.2095383405685425,-1.2688454389572144,-4.353547096252441,0.565373420715332,72.35912322998047,-33.14177703857422,4.208333333333333,199.30279499999995,-3299.373597,-645.8959960000001,3.3047311699967694,0.13345712051416692,13.139754518818426,-1.1954143302978446,-0.4106599464712501,83.29886884285807
-154.2725830078125,28.139678955078125,15.39037799835205,1.7495620250701904,-1.1498585939407349,-4.359889030456543,-0.8759880065917969,83.814697265625,-41.26287841796875,4.216666666666667,190.96142599999996,-3360.0455329999995,-673.4150080000002,3.7277340828216277,0.13753842241741507,12.888450294166091,-1.1661123917444332,-0.4095307983757018,83.40731969624551
-154.29684448242188,27.24970054626465,15.413134574890137,2.2637507915496826,-1.3433828353881836,-4.368135452270508,-2.5343997478485107,94.13671112060548,-49.12592315673828,4.225,183.69891299999995,-3422.80127,-698.0452270000001,4.116439321923563,0.4253129084988014,12.790585287628195,-1.13342833589133,-0.40718558449688436,83.51431567783631
-154.27865600585938,26.26444435119629,15.469711303710938,2.458148717880249,-1.999200463294983,-4.208952903747559,0.798597514629364,103.1146469116211,-57.48173141479492,4.233333333333333,177.871033,-3487.2531739999995,-719.2359310000002,4.118548145194955,1.1133167683900917,12.900739249201205,-1.0991158881116678,-0.400774627509847,83.62136286340643
-154.2001495361328,25.191633224487305,15.572115898132324,2.6399893760681152,-2.11165189743042,-3.8888540267944336,5.7303466796875,110.09774017333984,-66.52898406982422,4.241666666666666,173.83612100000005,-3553.8996589999997,-736.430053,4.057615187666901,1.347348905283266,12.686145545628065,-1.065048540891412,-0.3905218538695419,83.72797488338487
-154.06964111328125,24.05279541015625,15.727070808410645,2.9159486293792725,-2.2820885181427,-3.85422945022583,9.586005210876465,114.80345916748048,-75.54817962646484,4.25,172.67663600000003,-3622.172608,-748.7992550000001,4.214967594865553,1.5681662000405079,12.698022162672846,-1.030579445964192,-0.3783738742640256,83.83374224883613
-153.9233856201172,22.85044479370117,15.919538497924805,3.2472774982452397,-1.8662618398666384,-3.852693557739258,10.00395393371582,119.35210418701172,-82.90847778320312,4.258333333333333,175.621033,-3691.850678,-755.6446830000001,4.481024598371035,1.2601688045742743,12.493912291444971,-0.9943461451590415,-0.36658914507813134,83.93870864239494
-153.7821807861328,21.589466094970703,16.164499282836914,3.543128490447998,-1.5287106037139893,-4.28433084487915,7.497404098510742,123.03030395507812,-91.8227081298828,4.266666666666667,182.50573699999995,-3762.643158,-756.7210990000001,4.906463111670235,0.8793912976868539,12.708188585562825,-0.9552316130338676,-0.3576743113187095,84.04371739604915
-153.73834228515625,20.2680778503418,16.432209014892578,4.20172643661499,-0.5824185609817505,-4.766140937805176,-4.571322917938232,127.9275894165039,-97.62915802001952,4.275,191.805115,-3835.0452889999997,-752.849762,5.735168831516731,0.0373156741235341,12.605757836761166,-0.9108914799372531,-0.35385469893616606,84.14919217280884
-153.84478759765625,18.877859115600582,16.701871871948242,4.545205116271973,-0.4985105395317077,-5.487217426300049,-21.946674346923828,135.38233947753906,-101.73661041259766,4.283333333333333,201.384277,-3908.8615119999995,-744.3165280000001,6.28030346931229,-0.17374662345131298,13.207728334443962,-0.860827012017135,-0.35442316122503176,84.25674836518886
-154.1190948486328,17.40867042541504,16.962038040161133,5.171875953674316,-0.9859486222267152,-5.8116559982299805,-40.99414825439453,144.3889617919922,-104.60869598388672,4.291666666666667,209.994141,-3975.0684509999996,-733.2467650000001,6.821064892590722,0.355699519501181,13.662569608783317,-0.8062379771758696,-0.35366502415815726,84.3687079399523
-154.49563598632812,15.93231964111328,17.239059448242188,6.180857658386231,-0.7031412124633789,-6.262881278991699,-53.04848861694336,144.99293518066406,-106.19645690917967,4.3,216.51757799999996,-4032.082932,-713.2408750000001,7.848849273182954,0.27644924173631547,13.839917092973469,-0.7451133348184829,-0.3510310709863345,84.48330163454295
-154.98069763183594,14.421695709228516,17.524089813232422,6.764436721801758,-3.1913795471191406,-6.16650915145874,-65.51971435546875,148.82000732421875,-107.82429504394533,4.308333333333334,228.49224800000002,-4086.4824989999997,-687.4648430000001,7.809402057418596,2.7636805293720044,14.844247920912434,-0.6798706209409732,-0.3383638636067159,84.60281898876748
-155.4287109375,12.887683868408203,17.853099822998047,6.881600856781006,-4.575968265533447,-5.705367565155029,-61.40531539916992,150.147705078125,-112.7110824584961,4.316666666666666,248.62408400000004,-4138.456956999999,-660.5991510000001,7.3422326157593485,4.244509813485609,15.188000709561624,-0.6167388098027353,-0.3091630705114775,84.72795335806111
-155.8306884765625,11.29216480255127,18.23633575439453,7.431195259094238,-4.74641752243042,-5.224056243896484,-56.22383880615234,154.81503295898438,-120.57745361328124,4.325,273.152466,-4186.650044,-629.9791870000001,7.4833467799920905,4.772983194607682,14.934456879493446,-0.5549655623204346,-0.2715901829777536,84.85346359801552
-156.1512451171875,9.68345832824707,18.6713924407959,7.86055326461792,-5.486998081207275,-6.576144218444824,-46.29779052734375,154.55320739746094,-126.1017837524414,4.333333333333333,301.378113,-4233.4634559999995,-590.2412410000002,7.897321923477426,5.159391101901854,16.603681494258606,-0.4908794427226486,-0.2302052900756329,84.98487250790615
-156.3424835205078,7.984871864318848,19.115190505981445,7.526357650756836,-5.489332675933838,-7.668854236602783,-29.48402214050293,164.33424377441406,-130.88104248046875,4.341666666666667,332.79870600000004,-4275.109786999999,-542.215179,7.614692034466028,4.703660883765474,17.90210711293515,-0.42624605123121434,-0.1891092401353503,85.1286466271028
-156.53199768066406,6.198569297790527,19.533035278320312,7.724609375,-4.042334079742432,-7.482182502746582,-27.271987915039062,175.6595001220703,-131.94688415527344,4.35,362.60852,-4305.857376999999,-487.0272820000001,7.856211342059139,3.5598839321298037,17.399484801464293,-0.36178395382902984,-0.15467780340245527,85.27573659341279
-156.72787475585938,4.2802019119262695,19.933094024658203,8.427606582641602,-2.3579137325286865,-9.085874557495115,-26.242816925048828,191.32424926757807,-135.8124237060547,4.358333333333333,388.528686,-4326.970214999999,-427.1114500000001,9.036999444549489,1.7627772251035647,18.433380071076357,-0.29139557555149037,-0.13250004858064846,85.42504019704838
-156.97451782226562,2.224554538726806,20.2723331451416,8.58288860321045,-1.450024962425232,-9.806328773498535,-30.25107192993164,209.87542724609372,-134.98316955566406,4.366666666666666,409.99292,-4340.067048,-361.79510500000015,9.261039452608314,0.7543693122940672,19.061848916763758,-0.2151537468133372,-0.12201193800815892,85.58127031783103
