PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Unnamed: 11,time_seconds,Acc_Z_derivative
59,2979077187,20.25149345397949,-87.62950134277344,-165.0492706298828,9.776819229125977,-0.0725881531834602,0.1990828365087509,1.0990941524505615,-2.1170167922973637,0.4556388258934021, ,0.49166666666666664,2.3328101634978964
60,2979085520,20.26576042175293,-87.62982940673828,-165.05874633789062,9.84152889251709,-0.0803166925907135,0.2530262172222137,1.149912714958191,-2.289528608322144,0.4962374269962311, ,0.5,2.8619331121444453
61,2979093853,20.225099563598636,-87.633056640625,-165.01451110839844,9.82477855682373,-0.0854822248220443,0.2467817217111587,1.098633050918579,-2.267500400543213,0.4944956600666046, ,0.5083333333333333,0.09863197803497492
62,2979102186,20.25774383544922,-87.63371276855469,-165.04190063476562,9.815378189086914,-0.0877275839447975,0.2546700835227966,1.2093889713287354,-2.343062162399292,0.4212389290332794, ,0.5166666666666666,-0.7193309068679579
63,2979110519,20.21958351135254,-87.63661193847656,-165.0005645751953,9.80062770843506,-0.0974014326930046,0.234792873263359,1.0684082508087158,-2.245241641998291,0.4723649024963379, ,0.525,-1.3250568509101672
64,2979118852,20.225574493408203,-87.63611602783203,-165.001708984375,9.84496784210205,-0.0853475183248519,0.2325858026742935,1.1595691442489624,-2.1873788833618164,0.5029739737510681, ,0.5333333333333333,-0.042994916439052844
65,2979127185,20.214990615844727,-87.63926696777344,-164.98818969726562,9.794419288635254,-0.0732235610485076,0.2340762913227081,1.0318310260772705,-2.326899528503418,0.3533355593681335, ,0.5416666666666666,-0.6996837258338786
66,2979135518,20.21650505065918,-87.6391830444336,-164.9851837158203,9.804208755493164,-0.0821316912770271,0.2209244072437286,1.119867205619812,-2.222752094268799,0.5375275611877441, ,0.55,-0.7324343919753904
67,2979143851,20.16405487060547,-87.64167022705078,-164.92880249023438,9.801640510559082,-0.0726817026734352,0.2218690514564514,1.1502200365066528,-2.184945583343506,0.5282295346260071, ,0.5583333333333333,1.1451673507690465
68,2979152184,20.16608047485352,-87.6413345336914,-164.92608642578125,9.824566841125488,-0.0780239030718803,0.240010529756546,1.1353381872177124,-2.182051181793213,0.5224151611328125, ,0.5666666666666667,-0.4859688878059387
69,2979160517,20.103076934814453,-87.64324951171875,-164.8600616455078,9.821897506713867,-0.0879929661750793,0.2137695699930191,1.0388749837875366,-2.089276075363159,0.5406268239021301, ,0.575,-0.15212237834934506
70,2979168850,20.09500503540039,-87.64266967773438,-164.84768676757812,9.843558311462402,-0.0988108217716217,0.2374751567840576,1.0935101509094238,-2.130284786224365,0.5533059239387512, ,0.5833333333333334,0.5711057782172801
71,2979177183,20.038599014282227,-87.64474487304688,-164.78822326660156,9.796485900878906,-0.0663741379976272,0.2232879996299743,1.0559085607528689,-2.125469207763672,0.5228762030601501, ,0.5916666666666667,-0.16089946031570435
72,2979185516,20.01289367675781,-87.6444091796875,-164.7577667236328,9.810338973999023,-0.0819044262170791,0.2347934991121292,1.141024470329285,-2.1419389247894287,0.6521000266075134, ,0.6,-1.6841518878936839
73,2979193849,19.94450187683105,-87.64640045166016,-164.6852264404297,9.798468589782717,-0.0810434073209762,0.195218801498413,1.1675353050231934,-2.091453790664673,0.5773065090179443, ,0.6083333333333333,-0.1512140035629912
74,2979202182,19.919374465942383,-87.64482116699219,-164.6553955078125,9.825712203979492,-0.081776238977909,0.2322732657194137,1.141716241836548,-1.997475028038025,0.595774233341217, ,0.6166666666666667,1.9372263550758007
75,2979210515,19.840463638305664,-87.6470718383789,-164.57232666015625,9.821052551269531,-0.0852920711040496,0.2275059074163437,1.171505570411682,-2.109025001525879,0.6382939219474792, ,0.625,-0.00407159328460871
76,2979218848,19.81424331665039,-87.64649200439453,-164.5416717529297,9.786429405212402,-0.0797362625598907,0.2322054058313369,1.1017836332321167,-2.131539821624756,0.6493080854415894, ,0.6333333333333333,0.7458651065826398
77,2979227181,19.739370346069336,-87.64939880371094,-164.4632568359375,9.815211296081545,-0.0913911163806915,0.2399369925260543,1.1133099794387815,-2.160970687866211,0.6317623257637024, ,0.6416666666666666,0.7988038659095764
78,2979235514,19.68207550048828,-87.64948272705078,-164.4010467529297,9.81739902496338,-0.0787962228059768,0.2455188035964965,1.1546770334243774,-2.1558990478515625,0.8227676749229431, ,0.65,-0.17206460237503585
79,2979243847,19.592348098754883,-87.65164947509766,-164.3063201904297,9.813735008239746,-0.0954211503267288,0.2370692491531372,1.2827227115631104,-2.0745739936828613,0.6852192878723145, ,0.6583333333333333,-0.24991303682326915
80,2979252180,19.567047119140625,-87.65148162841797,-164.27528381347656,9.836304664611816,-0.0777114778757095,0.2413535863161087,1.256263017654419,-2.131437063217163,0.6512290835380554, ,0.6666666666666666,0.42053908109664384
81,2979260513,19.47627067565918,-87.653564453125,-164.17965698242188,9.823241233825684,-0.0957804173231124,0.2440782338380813,1.262615203857422,-2.1282355785369877,0.7078365087509155, ,0.675,0.153170228004452
82,2979268846,19.44239044189453,-87.65306854248047,-164.14096069335938,9.800333976745604,-0.0922581255435943,0.2439064234495163,1.1556246280670166,-2.084460735321045,0.6745892763137817, ,0.6833333333333333,-0.7339042425155657
83,2979277179,19.352924346923828,-87.65481567382812,-164.04681396484375,9.816553115844728,-0.0837722197175026,0.2318464964628219,1.2244758605957031,-2.043222188949585,0.6680833101272583, ,0.6916666666666667,-1.6238138079643303
84,2979285512,19.32152557373047,-87.65481567382812,-164.0109100341797,9.789051055908203,-0.0736810788512229,0.2168428599834442,1.1273466348648071,-2.158563137054444,0.686371922492981, ,0.7,1.429670155048326
85,2979293845,19.233436584472656,-87.65641021728516,-163.9188232421875,9.812569618225098,-0.0716615617275238,0.2556743323802948,1.1424334049224854,-2.04273533821106,0.6569410562515259, ,0.7083333333333334,1.1809337139129106
86,2979302178,19.201906204223636,-87.65657043457031,-163.88287353515625,9.818894386291504,-0.0716862827539444,0.2365250885486602,1.1111583709716797,-2.1824610233306885,0.6958234906196594, ,0.7166666666666667,0.39209604263305664
